Sample,X2FL,X3FL,DFLac,X3SL,X6SL,LNT,LNnT,LNFP.I,LNFP.II,LNFP.III,LSTb,LSTc,DFLNT,LNH,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH,SUM,Sia,Fuc
HM1170,1608.006222,3611.310646,410.5192301,376.6247494,66.11204155,598.9079008,29.80978664,192.5796977,730.6447985,7.71411589,72.97958282,15.24739391,472.1916382,22.51442902,98.5553258,33.26287143,45.91233763,83.5338329,16.42024468,8492.846844,927.9825744,8124.298596
HM967,3059.047721,1652.738926,411.0017602,211.0868805,37.13242974,876.4354158,130.4804733,684.7530582,683.9807654,13.36110061,104.2376612,24.98422046,906.4891466,64.78741231,114.8262774,53.11896902,38.45711222,91.27154214,13.59301821,9171.78389,816.8228674,8950.16812
HM681,3833.925487,2741.990397,466.4320247,251.0051354,129.9449663,386.8070649,37.67903607,232.8095807,603.9401264,6.985158089,27.16197892,22.66240138,438.7594029,25.26626965,45.53631677,84.46582371,33.65175751,154.6509732,35.5394788,9559.213379,902.2280194,9536.453916
HM771,119.1095327,4041.271439,14.12118283,272.2451966,83.4555139,533.7371326,61.05489294,94.20071571,863.5835157,5.58060812,60.01320753,17.55640323,163.7910613,41.77950822,70.60259855,85.66873507,50.35743887,180.9062501,23.68135394,6782.716287,983.6507265,5846.860162
HM1383,1031.65456,2601.58896,423.1040951,239.9925618,35.4524703,1086.618652,99.98616147,253.1525916,1267.852366,12.30238814,83.62278808,15.97272739,822.9515747,37.06310066,143.021182,55.08588063,82.40937008,84.86819082,5.507778234,8382.207399,841.8348497,7963.435017
HM1528,3966.529407,1763.016343,470.3243254,359.6850897,85.44075881,983.4408038,90.79605074,800.2165215,690.1156749,13.47524156,81.66011282,41.2937742,892.4044014,31.41546049,96.78338141,50.60726424,57.14087733,79.65312609,34.26924541,10588.26786,989.4912414,10203.35279
HM1386,25.27112653,5155.893559,11.13560498,281.5167643,37.82585834,843.1927106,86.45620685,113.0352083,1314.873918,8.881682397,81.55342322,13.34961701,233.9115592,59.91446853,90.24181607,132.5464008,71.55576327,368.0340814,16.10093749,8945.290706,1362.999333,7751.741831
HM1536,4796.696061,1943.012168,565.8025127,177.727277,138.4458244,359.6365486,199.1114258,253.0509685,546.82628,7.313191001,34.19117335,48.32467038,452.2024151,72.01939165,47.38315297,116.2622887,26.03521128,160.893964,53.79220735,9998.726732,922.8275936,9912.135199
HM657,4631.620727,1945.704432,586.4037165,100.4973185,139.2128315,460.3100627,54.5426506,293.954665,531.6465258,7.460757712,36.9574543,30.98929913,526.6267911,29.00022395,50.94473754,64.52183621,31.43273247,106.8003324,42.97701769,9671.604112,709.1010786,9870.635757
HM1303,1870.37151,2245.101149,327.57414,144.5456636,105.4098927,344.6290445,61.5285011,119.2059374,394.6915271,5.209463733,31.14749761,20.19112564,314.7599668,28.81334115,49.54259907,71.9384487,18.20919064,108.4474314,19.88285203,6281.199282,657.0399446,6136.052062
HM641,2739.51264,1994.381553,404.7128656,224.2940068,123.9895024,774.4005932,131.7062306,394.6418382,736.5136092,9.981682078,71.74880773,46.64174589,587.1311953,39.56241079,107.8451138,90.83226367,55.1148416,144.4052256,42.80187622,8720.218002,1056.778494,8204.186617
HM815,2156.34624,3553.780347,504.4028462,148.8257709,219.8260531,441.6482935,52.0551359,157.4892888,805.5181343,7.575499033,47.50992216,42.13956116,659.9084441,33.0005206,58.16866816,63.99917481,47.9143285,147.3500576,53.28686658,9200.745153,975.9124919,9316.50998
